id,name,lat,lon,verified
491c8702-0e4e-4ab1-88c2-b28d089819dc,"Victoria Hospital, Bangalore",12.979557,77.595894,True
a2f8d9da-cf3b-435d-b87c-abadf3bcdca1,"NIMHANS, Bangalore",12.971896,77.596385,True
37a6de27-8bf8-438a-87e6-a8e4d0f8be4b,"St. John's Medical College Hospital, Bangalore",12.966982,77.585049,True
386616e0-52e7-4d89-b455-be3b3ae9be71,"Manipal Hospital, Bangalore",12.984138,77.602422,True
17f6f882-be6d-4604-8134-ef22374bdebf,"K.C. General Hospital, Bangalore",12.975345,77.595328,True
b61401c8-5b60-4fa5-9607-d2aa0f72710a,"Karnataka State Blood Transfusion Council Bank, Bangalore",12.970433,77.59456,True
1b7c8691-37cd-4cf3-8e1e-d0a547730962,"K.R. Hospital, Mysore",12.295808,76.639425,True
decff8af-3d6a-413b-9b28-c7b4a21f1a3a,"Karnataka Institute of Medical Sciences (KIMS), Hubli",15.356734,75.121603,True
686731a0-8ab6-47d1-9d9c-b8b5f5610e60,"Government Wenlock Hospital, Mangalore",12.913097,74.855353,True
ad82116b-1390-4d68-a9f0-e356cdd07869,Belagavi Institute of Medical Sciences (BIMS),15.862005,74.498223,True
2eedbe65-6f9c-4e4e-80f0-2247f0bb12db,Kalaburagi Institute of Medical Sciences,17.325789,76.822176,True
c0893ff1-1322-493e-a468-d44230debe2c,"Chigateri District Hospital, Davanagere",14.465848,75.924015,True
9c9acd9e-ea02-4fd1-b071-2ed96f403730,"Vijayanagara Institute of Medical Sciences, Ballari",15.130779,76.936162,True
0b78f0b9-9ba6-4d14-9401-9857dd1da1f7,"SDM Medical College Hospital, Shivamogga area",13.930105,75.568247,True
